City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,Mar Del Plata,-38.0023,-57.5575,293.16,82,0,5.81,AR,2022-04-16 18:38:44
136,Alofi,-19.0595,-169.9187,295.09,94,33,0.0,NU,2022-04-16 18:38:45
137,Dikson,73.5069,80.5464,262.25,94,100,7.06,RU,2022-04-16 18:38:45
138,Iqaluit,63.7506,-68.5145,261.0,66,75,1.03,CA,2022-04-16 18:38:46
139,Saint-Philippe,-21.3585,55.7679,298.92,81,52,5.85,RE,2022-04-16 18:38:46
140,Krasnaya Gora,52.9995,31.6023,275.75,97,100,5.6,RU,2022-04-16 18:39:46
141,Lebu,-37.6167,-73.65,288.68,70,10,6.52,CL,2022-04-16 18:39:47
142,Kloulklubed,7.0419,134.2556,296.43,73,26,0.82,PW,2022-04-16 18:39:47
143,Ponta Do Sol,32.6667,-17.1,295.5,47,100,3.25,PT,2022-04-16 18:39:48
144,Fallon,39.4735,-118.7774,288.08,35,75,9.77,US,2022-04-16 18:39:48
145,Broome,42.2506,-75.833,279.1,80,100,4.12,US,2022-04-16 18:39:49
146,Banga,6.4239,124.7783,297.11,92,61,0.34,PH,2022-04-16 18:39:49
147,Urubicha,-15.3833,-62.95,303.9,39,20,1.31,BO,2022-04-16 18:39:50
148,Kandrian,-6.2167,149.55,298.29,90,100,2.39,PG,2022-04-16 18:39:50
149,Maragogi,-9.0122,-35.2225,301.65,76,6,5.26,BR,2022-04-16 18:39:51
150,Nikolskoye,59.7035,30.7861,277.09,82,74,1.5,RU,2022-04-16 18:39:51
151,Mama,58.3106,112.8986,270.4,96,100,2.22,RU,2022-04-16 18:39:52
152,Mehamn,71.0357,27.8492,276.84,94,100,15.08,NO,2022-04-16 18:39:52
153,Tooele,40.5308,-112.2983,290.87,35,100,8.79,US,2022-04-16 18:39:52
154,Kavaratti,10.5669,72.642,302.07,73,49,1.75,IN,2022-04-16 18:39:53
155,Langsa,4.4683,97.9683,297.26,96,98,1.19,ID,2022-04-16 18:39:53
156,San Pedro,14.35,121.0167,300.72,76,75,2.06,PH,2022-04-16 18:39:54
157,Alacranes,22.7675,-81.5675,303.42,38,0,1.64,CU,2022-04-16 18:39:54
158,Canutama,-6.5339,-64.3831,304.2,62,96,0.8,BR,2022-04-16 18:39:54
159,Plouzane,48.3833,-4.6167,293.18,63,0,3.6,FR,2022-04-16 18:39:55
160,Hamilton,39.1834,-84.5333,289.26,67,100,5.66,US,2022-04-16 18:35:08
161,Codrington,-38.2667,141.9667,293.0,40,100,7.7,AU,2022-04-16 18:39:55
162,Lerwick,60.1545,-1.1494,281.15,95,100,9.09,GB,2022-04-16 18:39:56
163,Mount Gambier,-37.8333,140.7667,291.1,52,100,6.17,AU,2022-04-16 18:39:56
164,Gushikawa,26.3544,127.8686,291.72,80,40,2.06,JP,2022-04-16 18:39:57
165,Hay River,60.8156,-115.7999,260.13,66,40,4.63,CA,2022-04-16 18:35:49
166,Airai,-8.9266,125.4092,288.45,94,57,1.25,TL,2022-04-16 18:37:06
167,Moses Lake,47.1301,-119.2781,280.35,45,100,6.69,US,2022-04-16 18:39:23
168,Payo,-3.7508,103.6372,295.83,99,100,0.51,ID,2022-04-16 18:39:58
169,Faya,18.3851,42.4509,293.21,45,4,1.51,SA,2022-04-16 18:39:58
170,Vakhtan,57.9659,46.6889,271.28,86,100,1.53,RU,2022-04-16 18:39:59
171,Barcelona,41.3888,2.159,297.28,71,0,5.14,ES,2022-04-16 18:39:47
172,Port Elizabeth,-33.918,25.5701,290.31,81,75,3.6,ZA,2022-04-16 18:36:34
173,Santa Maria,-29.6842,-53.8069,293.76,56,75,6.17,BR,2022-04-16 18:39:59
174,Bathsheba,13.2167,-59.5167,302.49,58,20,10.29,BB,2022-04-16 18:40:00
175,Trelleborg,55.3751,13.1569,281.12,67,30,4.21,SE,2022-04-16 18:40:01
176,Berlevag,70.8578,29.0864,277.04,92,100,14.57,NO,2022-04-16 18:40:02
177,San Policarpo,12.1791,125.5072,299.81,79,92,3.55,PH,2022-04-16 18:40:02
178,Necochea,-38.5473,-58.7368,293.87,48,99,1.74,AR,2022-04-16 18:40:03
179,Metro,-5.1131,105.3067,297.08,93,55,1.73,ID,2022-04-16 18:40:04
180,Neya,58.2972,43.8681,272.36,75,100,3.36,RU,2022-04-16 18:35:16
181,Belmonte,-15.8631,-38.8828,297.34,92,100,6.32,BR,2022-04-16 18:40:05
182,Juegang,32.3174,121.1855,283.66,57,6,0.72,CN,2022-04-16 18:40:06
183,Chokurdakh,70.6333,147.9167,246.54,100,100,1.22,RU,2022-04-16 18:40:06
184,Sangar,63.9242,127.4739,253.87,99,99,0.56,RU,2022-04-16 18:40:07
185,Epinal,48.1833,6.45,288.57,64,0,4.87,FR,2022-04-16 18:41:07
186,Ostrovnoy,68.0531,39.5131,272.05,86,100,4.59,RU,2022-04-16 18:41:08
187,Sao Felix Do Xingu,-6.6447,-51.995,302.79,68,49,0.63,BR,2022-04-16 18:36:37
188,Kondinskoye,59.6481,67.41,273.43,99,100,2.99,RU,2022-04-16 18:41:08
189,Kemijarvi,66.7131,27.4306,273.47,90,100,3.55,FI,2022-04-16 18:41:09
190,Pitimbu,-7.4706,-34.8086,304.48,73,7,4.46,BR,2022-04-16 18:41:09
191,Juneau,58.3019,-134.4197,278.83,75,100,3.09,US,2022-04-16 18:41:10
192,Umm Kaddadah,13.6017,26.6876,303.42,7,99,5.02,SD,2022-04-16 18:41:10
193,Karakol,42.4907,78.3936,281.65,43,2,2.87,KG,2022-04-16 18:41:11
194,Conroe,30.3119,-95.456,301.47,76,100,2.25,US,2022-04-16 18:40:32
195,Windhoek,-22.5594,17.0832,294.26,26,2,2.06,NA,2022-04-16 18:39:42
196,Turan,16.0678,108.2208,300.14,89,40,3.09,VN,2022-04-16 18:41:11
197,Pano Aqil,27.8569,69.1116,304.09,7,83,3.47,PK,2022-04-16 18:41:12
198,Kaitangata,-46.2817,169.8464,278.03,91,92,2.04,NZ,2022-04-16 18:41:12
199,Curup,-3.4667,102.5333,294.17,98,100,1.17,ID,2022-04-16 18:41:13
200,Gorontalo,0.5412,123.0595,296.78,96,97,1.65,ID,2022-04-16 18:41:13
201,Ouesso,1.6136,16.0517,299.29,70,98,0.91,CG,2022-04-16 18:41:14
202,Creel,27.75,-107.6333,295.41,8,100,5.47,MX,2022-04-16 18:41:14
203,Pringsewu,-5.3582,104.9744,296.53,97,26,1.07,ID,2022-04-16 18:41:14
204,Meulaboh,4.1363,96.1285,299.22,84,32,0.24,ID,2022-04-16 18:41:15
205,Cururupu,-1.8283,-44.8683,300.91,77,98,1.83,BR,2022-04-16 18:41:15
206,Halifax,44.6453,-63.5724,287.09,46,100,13.38,CA,2022-04-16 18:41:16
207,Bredasdorp,-34.5322,20.0403,288.46,71,0,6.57,ZA,2022-04-16 18:41:16
208,Klaksvik,62.2266,-6.589,281.66,91,100,8.3,FO,2022-04-16 18:41:17
209,New Norfolk,-42.7826,147.0587,285.33,75,100,1.2,AU,2022-04-16 18:41:17
210,Kruisfontein,-34.0033,24.7314,288.64,77,100,3.49,ZA,2022-04-16 18:41:18
211,Hambantota,6.1241,81.1185,299.34,100,75,1.54,LK,2022-04-16 18:41:18
212,Saskylakh,71.9167,114.0833,261.36,93,99,5.92,RU,2022-04-16 18:41:19
213,Naze,28.3667,129.4833,288.66,63,64,2.68,JP,2022-04-16 18:41:19
214,Ekhabi,53.5102,142.9671,269.95,88,100,4.91,RU,2022-04-16 18:41:19
215,Tuatapere,-46.1333,167.6833,278.36,90,66,2.03,NZ,2022-04-16 18:41:20
216,Hualmay,-11.0964,-77.6139,294.88,73,100,5.29,PE,2022-04-16 18:41:21
217,Mogzon,51.7435,111.9606,268.66,93,46,0.62,RU,2022-04-16 18:41:21
218,Ixtapa,20.7,-105.2,298.72,57,75,4.63,MX,2022-04-16 18:37:33
219,Nelson Bay,-32.7167,152.15,289.26,95,0,1.75,AU,2022-04-16 18:41:22
220,Mount Isa,-20.7333,139.5,293.02,37,0,2.57,AU,2022-04-16 18:41:22
221,Saldanha,-33.0117,17.9442,289.18,59,0,4.82,ZA,2022-04-16 18:41:23
222,Saint-Augustin,51.226,-58.6502,273.42,100,100,4.54,CA,2022-04-16 18:41:23
223,Matara,5.9485,80.5353,299.91,84,58,1.36,LK,2022-04-16 18:41:17
