City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
465,Nybro,SE,56.7446,15.9071,41.81,70,37,10.16,scattered clouds
466,Mosquera,CO,4.7059,-74.2302,62.69,77,75,11.5,thunderstorm
467,Pointe Michel,DM,15.25,-61.3833,78.66,72,93,8.99,overcast clouds
468,Moyale,KE,3.5167,39.0584,67.53,88,91,3.29,moderate rain
469,Tutoia,BR,-2.7619,-42.2744,79.99,86,34,3.22,scattered clouds
470,Mudgee,AU,-32.5943,149.5871,51.85,87,40,2.3,scattered clouds
471,Porto Torres,IT,40.835,8.3972,60.98,83,63,17.27,broken clouds
472,Peniche,PT,39.3558,-9.3811,65.08,78,32,6.08,scattered clouds
473,Ambulu,ID,-8.345,113.6058,76.21,91,72,2.8,broken clouds
474,Senanga,ZM,-16.1167,23.2667,70.66,58,57,4.54,broken clouds
475,Vygonichi,RU,53.0985,34.0673,48.31,100,52,4.47,broken clouds
476,Oloron-Sainte-Marie,FR,43.1944,-0.6107,58.93,86,86,4.56,overcast clouds
477,Wawa,NG,9.9022,4.4192,93.83,36,87,6.15,overcast clouds
478,Belaya Gora,RU,68.5333,146.4167,-6.27,100,86,4.41,overcast clouds
479,Vagur,FO,61.4732,-6.8119,42.98,80,100,21.7,overcast clouds
480,Acapulco,MX,16.8634,-99.8901,85.82,66,0,8.05,clear sky
481,Mount Gambier,AU,-37.8333,140.7667,42.71,100,100,0.0,fog
482,Roxas,PH,11.5853,122.7511,78.15,88,100,8.68,overcast clouds
483,Mogadishu,SO,2.0371,45.3438,83.59,77,89,14.5,overcast clouds
484,Concordia,AR,-31.393,-58.0209,84.27,54,40,11.99,scattered clouds
485,Havoysund,NO,70.9963,24.6622,37.63,77,100,8.52,overcast clouds
486,Saint-Francois,FR,46.4154,3.9054,54.84,94,100,5.75,overcast clouds
487,Terrace,CA,54.5163,-128.6035,42.76,98,100,2.06,light rain
488,Saint-Augustin,CA,51.226,-58.6502,38.89,84,100,19.48,overcast clouds
489,Ishinomaki,JP,38.4167,141.3,52.27,95,60,5.48,broken clouds
490,Ponta Delgada,PT,37.7333,-25.6667,61.52,72,20,18.41,few clouds
491,Borogontsy,RU,62.6683,131.1683,16.34,98,82,2.8,broken clouds
492,Nha Trang,VN,12.25,109.1833,78.8,90,83,3.33,broken clouds
493,Kafue,ZM,-15.7691,28.1814,68.9,73,62,4.63,broken clouds
494,Minsk,BY,53.9,27.5667,47.95,92,98,9.75,overcast clouds
495,Bogorodskoye,RU,56.55,37.8833,46.69,96,100,5.93,light rain
496,Neiafu,TO,-18.65,-173.9833,74.08,100,40,0.0,scattered clouds
497,Xiuyan,CN,40.2928,123.2744,54.3,93,69,4.41,broken clouds
498,Camocim,BR,-2.9022,-40.8411,81.43,79,65,4.61,broken clouds
499,Mokrous,RU,51.2333,47.5167,55.99,65,100,6.29,overcast clouds
500,Buraydah,SA,26.326,43.975,68.45,47,97,14.58,overcast clouds
501,Bojnurd,IR,37.4747,57.329,57.15,62,0,2.3,clear sky
502,Medicine Hat,CA,50.0501,-110.6683,56.84,33,14,3.0,few clouds
503,Lamu,KE,-2.2717,40.902,82.18,79,74,7.94,broken clouds
504,Wooster,US,40.8051,-81.9351,83.28,44,40,16.11,scattered clouds
505,Oranjemund,NA,-28.55,16.4333,55.36,78,0,13.53,clear sky
506,Kharp,RU,66.8014,65.8081,10.63,85,77,7.47,broken clouds
507,Old Saybrook,US,41.2918,-72.3762,61.3,56,75,9.22,broken clouds
